B10-C0-1	B10-C0-2	B10-C0-3	B10-H0-1	B10-H0-2	B10-H0-3	B11-C0-1	B11-C0-2	B11-C0-3	B11-H0-1	B11-H0-2	B11-H0-3	B10-C3-1	B10-C3-2	B10-C3-3	B10-H3-1	B10-H3-2	B10-H3-3	B11-C3-1	B11-C3-2	B11-C3-3	B11-H3-1	B11-H3-2	B11-H3-3	B10-C12-1	B10-C12-2	B10-C12-3	B10-H12-1	B10-H12-2	B10-H12-3	B11-C12-1	B11-C12-2	B11-C12-3	B11-H12-1	B11-H12-2	B11-H12-3	B10-C24-1	B10-C24-2	B10-C24-3	B10-H24-1	B10-H24-2	B10-H24-3	B11-C24-1	B11-C24-2	B11-C24-3	B11-H24-1	B11-H24-2	B11-H24-3
BraA01g000810.3.5C	8.42204757557024	8.6325318018164	7.98624390530705	9.51469653072263	9.00081442929145	8.74512008091529	7.32039583479713	8.45767721368857	7.50424383945431	7.85476432418164	8.41073584050818	9.14721571772978	8.09135179829956	7.92068632469496	8.17432186550198	7.48168732452769	6.91521054990188	6.56661632152014	6.93600995523909	7.03313625620848	7.06020449508475	6.84394663504206	6.61232687536973	7.6696405947952	8.55905396576984	7.69931402626077	7.73883865011116	5.96541332077321	5.11357508157241	5.365204443716	7.43269105056089	8.18028181241357	7.80084027128754	5.48337717127728	5.7510267682327	5.78026260403657	8.82958341829254	9.10213677780908	7.95955916887166	5.43748975537863	6.4398580647548	6.674839321881	8.03729165361049	8.11872162533367	7.48188581563192	6.89819075634665	6.90074430345337	7.07272048326859
BraA01g002330.3.5C	5.28467634246448	5.53363144208863	5.80382883529348	5.62174568745074	5.11022665819616	5.69357550793289	4.97547235557946	5.67997330852192	4.42588677831304	5.84091648539255	5.02491935497689	5.20321351932265	5.59806750679177	5.38612113750026	5.72374850472833	5.14172008248682	5.88607425186502	5.19286051895598	4.98807103585973	4.94880952824172	4.57427401952334	6.04063996331659	5.63241161809134	5.26716967075753	5.95647472145288	5.57036258229265	5.53572871099229	6.0344310444726	6.61579906725649	6.53952969633934	4.27678777823432	4.40902077575068	4.9997267835941	5.87644164819003	5.70618105735552	5.52835983848282	5.83590890622753	6.0064676084771	6.22179056731913	5.68527172099455	5.9823626072748	6.1180903988733	5.22996737069588	4.93306875157088	6.02216976751039	5.16179985203311	6.09417600700298	5.53505235767775
BraA01g002500.3.5C	6.50950344745529	6.5299791341704	7.30293910680692	6.6315117407097	6.65946287699366	6.84022916177199	7.24472852841302	6.95824174202682	6.6915071089256	6.85985095979116	6.70327316703965	5.95000178928445	7.31115570682875	7.61462008776704	6.8545336832188	6.83740540183176	7.43058282251812	6.68480592245698	7.23249287097367	7.09269756785873	7.22785302834798	6.76350159782665	6.59779407851014	6.60830462434504	6.01539523983435	6.3474299224323	5.77008519132525	5.21109070368538	6.14381840325624	5.49586430368577	4.80215502881599	5.71104173378654	4.8591582934542	6.18347887769788	6.04838591032881	6.104976272686	6.19482342164807	6.52846316690389	6.8670248054782	6.63965649801509	6.4398580647548	6.62950509055951	6.84297948228954	6.74187852280415	6.87546256500379	5.88635928362914	6.53897949586556	6.16424115085595
BraA01g003220.3.5C	8.02202333399531	7.70907295082865	6.60581923233472	9.44806049840307	8.26857432261361	8.28844528865515	4.87456700833328	6.87675943597745	6.58517542298293	6.99035573556137	6.65050542450215	7.86549262461639	6.47134530888347	6.63785792049564	6.61190319409591	6.18990750942134	5.53280993072543	5.36809987871122	4.5930576935759	5.27971687874087	6.12367982887682	4.64161759976085	4.54580527100837	5.01226926438555	6.41518969127861	4.57252675455607	5.25375451078047	4.07599399354966	4.27826795375398	4.22327876167168	3.95440001999627	6.80093862000873	6.82762265850367	3.86395569428613	3.35205129750408	3.6990192329862	7.41539978819191	7.85028061059262	7.41166938353914	4.60971544444174	4.84649651161952	4.4669749318977	5.39279104432602	4.51193450306377	4.36843634316256	3.96273593407711	3.40734019849735	3.92206946227969
BraA01g004300.3.5C	3.52599052720121	3.69790938571338	3.75585260113764	4.39915417941002	3.7853879723133	3.91294396350404	4.97547235557946	4.67556328018895	3.51238253173791	4.28390326308698	4.73935336670982	4.20292618777279	2.61729311160873	3.86367597854152	3.22795875838457	3.75479452847563	4.22530653783991	3.48789739341901	3.7700171474525	3.65371506031207	3.22210537278544	4.10258648065865	4.47926660836885	3.99648471275953	7.39638397899749	7.56210592432262	7.41427252254992	7.73523865491295	8.13586428401724	7.84264340362997	7.46080339791099	7.27885665235892	7.10213934116038	7.93817258469635	7.83541903204766	8.38920493838482	4.43281847926194	4.01127330655502	3.90699939345146	4.18465317972043	4.44562794057323	4.02265158104808	3.93346029055631	4.33336782120137	4.74093174284838	4.40199728211245	5.03650487325229	4.40872872456525
BraA01g004520.3.5C	5.72993391961555	5.87069170899401	5.95340147303379	5.35149033012006	5.63629052493039	5.10676900554289	6.84411257843541	6.14501076540661	6.40920857235961	5.84091648539255	5.55136221401779	4.58561674772361	5.71402311076203	5.65821951922426	5.75429318358585	4.6329318009652	4.5438609352969	5.2832749456326	6.62386543095315	6.43891293820481	7.07201046531962	5.31176864385572	4.16938207350985	4.43418404498548	6.26200198501217	6.36194989849254	6.26986322689484	4.78622160330717	3.99650072180872	4.61574832805131	7.17423077583588	6.85565949270905	7.46269782506246	5.08351779489172	5.83664352329594	4.18180506447349	5.30776721048993	5.29124208201452	5.4907058646861	4.07765812494508	4.68976242203725	5.00410296492614	6.00467705769668	6.4901268195613	6.07207996275124	4.67494767027799	3.57912300786205	4.10851692042811
BraA01g006090.3.5C	5.37698818155406	4.58026514932279	4.19046321513188	3.98020516311728	4.74379459214222	4.67896730579271	3.89038844836128	3.95624905586959	4.12330254757685	3.93495462930718	4.50686345878181	4.51803603739055	5.04879513140646	4.6670499645501	4.51744433918792	6.51064826458871	5.88607425186502	6.27471804122671	4.45362732222651	3.93769657144503	3.93349583732882	5.37627166612319	5.76970341528097	5.93185094725554	3.78888766061112	4.46134510787674	4.26864633443071	5.51017088970651	5.40532082518321	5.39234157586571	3.48060859148714	3.79200284069094	4.23427291985525	5.08351779489172	4.71640375052565	5.22052116874473	4.23939543826179	4.52435550378138	5.09691260210129	4.37287166492036	5.15303334035837	4.79217926025825	3.80217626180038	4.00165135934065	3.95562519597579	4.62487991585444	4.2291107268577	4.80376161238812
BraA01g006300.3.5C	3.52599052720121	3.25077305265149	3.75585260113764	3.49795046765577	2.61729311160873	4.47356835820638	4.58197927348395	4.67556328018895	3.86435298713282	4.35677874302431	4.37216780091231	4.20292618777279	3.75177420225375	4.00089644604495	3.66006318441992	3.60850309111151	3.63267750653208	3.96525266651723	4.01199297042779	4.16013930962404	3.80220865169181	4.2617386342367	4.07709654078048	3.75691116735661	4.49638955387493	4.20304417541368	4.64973075378035	4.82728808780504	4.55604465240424	4.79490947253346	5.07867736183625	4.40902077575068	4.90768517774897	4.76187512658248	5.15415204297919	5.22052116874473	3.25792229592892	4.01127330655502	3.44884943169503	4.86943744686917	4.44562794057323	4.12625764602426	3.93346029055631	3.864365036851	3.82237834985903	4.8144601063434	5.34289993816543	5.06719852769941
BraA01g006800.3.5C	7.7955567043034	8.00093594587336	8.77059897085242	6.85437226813604	7.23949193507035	7.07397996863264	8.23658377204091	8.05746298822584	8.04730208481024	7.7483122733363	7.46054671754911	6.96078073240444	8.02650257395702	7.72679929810374	7.25385455586909	6.58829692939214	6.83722026335665	6.29614932476098	7.73769795178764	7.6233382829319	7.76701315150469	7.57313202051739	6.99128009901545	7.09791449518551	7.98397824314361	7.69361257684974	7.5167245357904	6.22337239643585	7.17306815670062	6.58645523147999	6.66265472430667	6.87344553917921	6.34258967021736	6.66188936238358	6.50351922590878	6.40661358925669	6.90918026468441	7.77749327799244	7.85236921034921	7.42388296958048	7.66729041837738	8.10087222239899	7.54801206388984	7.9651906343564	8.7118097659739	7.30998653615349	6.81849865684158	7.35935570081768
BraA01g007440.3.5C	9.05453190713856	9.75583761257776	10.5136636804428	8.82019480100741	8.75348867314138	8.98697930066348	10.5501290997004	10.1162399485432	9.79790996872747	9.52565610537774	9.16346668124599	8.41686270531459	10.324512017577	9.87323070969443	9.57382090836993	7.59852505735348	8.95330288623798	8.10166141440055	10.061410780643	10.3035925862491	10.2243004613784	9.45469156414614	9.8170152001652	8.60050065429643	9.51222722295322	9.96220374161394	9.20209475252117	7.13110935959131	8.88910552594433	6.81036490000829	8.26996032881637	8.04980167626193	7.62439570130551	7.6938515998241	7.44185305316515	7.77847071223943	8.63795991868742	9.31101387553934	9.65170156953171	9.01519304205635	9.06129278305929	9.70947793746009	9.53113381583514	10.1764494760874	10.8151572916194	8.3004734610694	8.52640769687446	8.27293131881427
