B10-C0-1	B10-C0-2	B10-C0-3	B10-H0-1	B10-H0-2	B10-H0-3	B11-C0-1	B11-C0-2	B11-C0-3	B11-H0-1	B11-H0-2	B11-H0-3	B10-C3-1	B10-C3-2	B10-C3-3	B10-H3-1	B10-H3-2	B10-H3-3	B11-C3-1	B11-C3-2	B11-C3-3	B11-H3-1	B11-H3-2	B11-H3-3	B10-C12-1	B10-C12-2	B10-C12-3	B10-H12-1	B10-H12-2	B10-H12-3	B11-C12-1	B11-C12-2	B11-C12-3	B11-H12-1	B11-H12-2	B11-H12-3	B10-C24-1	B10-C24-2	B10-C24-3	B10-H24-1	B10-H24-2	B10-H24-3	B11-C24-1	B11-C24-2	B11-C24-3	B11-H24-1	B11-H24-2	B11-H24-3
BraA01g000180.3.5C	4.3574547383454	3.5062532575956	2.61729311160873	2.61729311160873	3.45422245346743	2.61729311160873	4.58197927348395	5.03068186653691	4.80724887822042	4.96224697565701	4.56909593999344	4.82502797205095	3.19538682494737	2.61729311160873	3.47469252897133	3.43176572049813	3.21149152361055	3.23749990064225	5.33083539840572	5.10061988220398	4.99468362665976	4.46625029356736	4.60899580263677	4.63633719958077	2.61729311160873	2.61729311160873	2.61729311160873	3.1219282595406	3.6103812331386	3.61643499380009	3.82126137417443	4.81378107475879	3.95888502101863	3.51208918647392	3.95803331411619	4.3048096042956	2.61729311160873	2.61729311160873	2.61729311160873	3.23454744784269	3.71805804321758	3.44955197862727	4.99462724376172	3.864365036851	2.61729311160873	4.40199728211245	4.69550722255409	4.59325129618788
BraA01g000510.3.5C	5.37698818155406	5.49498991731998	5.60651057412308	5.78706668358841	5.19885576394183	4.67896730579271	4.64604584814857	3.82294712746296	5.04797261643755	4.91749689139274	5.55136221401779	4.64977067225747	6.62581809978457	6.10787462076657	6.66063703011467	5.22381452854653	5.62981445467103	6.53097407570972	5.635720230937	5.19310687683825	6.1006771426567	5.24409089779477	5.34508433073624	5.72486786190252	6.60531361052912	6.07482869005508	6.66481003236838	5.55823472182299	5.48201947977519	5.39234157586571	6.0697239444336	5.64971217618689	6.18089258484769	4.33283165096049	4.89271013159162	4.11500554278564	5.55889840180013	5.77886300539688	5.0024033084198	4.37287166492036	5.15303334035837	5.22915310610287	5.04508709535533	4.99176335705484	4.80396471556747	4.62487991585444	3.40734019849735	4.47332861798417
BraA01g000750.3.5C	2.61729311160873	3.5062532575956	3.75585260113764	3.49795046765577	2.61729311160873	2.61729311160873	4.10605182773253	4.60568812629216	4.6680662169311	3.70500000211251	3.71528715838492	2.61729311160873	2.61729311160873	2.61729311160873	3.66006318441992	2.61729311160873	3.63267750653208	2.61729311160873	4.11493485919997	4.34599030977767	4.50121471133492	3.91678264013734	3.9763906497585	3.88375261553888	3.15268522703445	2.61729311160873	2.61729311160873	2.61729311160873	3.32630219804432	2.61729311160873	4.27678777823432	3.79200284069094	4.45657789542632	3.35170236098846	3.51251005917518	4.36182148368275	3.51613330718345	3.20471450133149	3.90699939345146	2.61729311160873	2.61729311160873	2.61729311160873	4.05000141998523	4.12331672935077	4.27825706593594	3.64945714114033	2.61729311160873	3.38736890495079
BraA01g001270.3.5C	9.57354229471546	9.13647947016325	8.72672666268963	6.42827807484294	6.65946287699366	5.63242614803986	8.07139455961427	6.84853705204302	7.20323071680227	5.61411068966353	5.49174429150027	5.02739315006629	6.75188672775143	6.83603547566913	6.45487303981693	5.30125608981326	5.59822246726824	5.93483469358302	6.33962768727185	6.56232090038394	6.72825564477298	5.9389906829157	6.15631241502384	5.54678528966728	7.38164978331706	7.01235512631678	6.95327442155262	5.40875042104292	6.42498009954804	6.01160288904961	6.92773166613847	6.04752031100648	6.32550321931452	5.219414196028	5.42997531226557	5.4331654708425	7.08975509467902	7.41689710758907	6.89276448234509	4.86943744686917	5.1132922385475	5.55951360512333	6.4303170772599	6.50965416791846	7.03403570308347	3.51576951235497	3.72145503379913	3.69414665080299
BraA01g001310.3.5C	5.42092682431243	5.60784173333516	6.10999898436458	5.62174568745074	4.54871028553996	4.67896730579271	6.32360037599021	5.80396500053624	5.85691576615153	5.58648661609696	5.33042609362211	4.44658911335429	8.14833776252425	7.83086893977098	7.03764804943017	7.28180311250466	6.65211206802938	7.66707867593649	8.26424134337969	8.47538300954674	8.08468517144597	7.25007317944156	7.21683597532449	6.0910123679513	7.70523284633004	7.75512052014788	7.87726278495016	6.58594359252433	7.10325612945514	6.47862098831955	7.86300179253404	6.95086247905805	7.3410157868464	4.76187512658248	5.85725872827066	5.13142690944329	4.81523412716681	5.50716744194316	5.42044331952913	5.43748975537863	5.3698788073893	6.39658552057964	6.14624597370005	6.54792653926126	7.39696305281517	4.51840500864156	4.57909620981145	4.19112422987376
BraA01g002520.3.5C	2.61729311160873	2.61729311160873	2.61729311160873	2.61729311160873	2.61729311160873	2.61729311160873	3.2012967605539	2.61729311160873	3.25520780735555	3.17071973571466	3.40282669972369	2.61729311160873	3.42955093875329	2.61729311160873	3.22795875838457	3.43176572049813	2.61729311160873	2.61729311160873	3.62192726098668	2.61729311160873	3.46658735157	3.91678264013734	3.59541192133811	3.43331807477451	3.37022999024688	2.61729311160873	2.61729311160873	2.61729311160873	2.61729311160873	3.12429477865974	2.61729311160873	3.10785797090731	2.61729311160873	3.64527026865981	3.86452570105776	3.96798515024587	2.61729311160873	2.61729311160873	2.61729311160873	2.61729311160873	3.17759546172342	3.20981010704308	4.05000141998523	3.25521424574894	3.48143111118926	3.35475380225702	3.17938548921165	3.55507848956323
BraA01g004040.3.5C	3.26505852622205	3.69790938571338	4.27678517129265	3.49795046765577	4.22951230866672	4.02792042300359	3.43774859079071	3.23312959665292	3.86435298713282	3.56463245257486	4.37216780091231	4.82502797205095	3.87810761511274	3.86367597854152	3.66006318441992	2.61729311160873	3.91153402203494	3.67590433675053	3.44293448305628	3.22413853155959	3.46658735157	3.80982794192223	3.9763906497585	3.19810239142692	3.37022999024688	3.14149052761834	3.16517663800818	3.72410901630683	3.9131161395357	4.15500647406786	3.2322326445812	3.3077940978024	3.72517287318978	3.13937081653598	3.13962147493366	3.11006869658521	4.23939543826179	3.89748292424872	3.7780733269569	4.45694901377854	4.44562794057323	3.90804991884441	2.61729311160873	2.61729311160873	2.61729311160873	4.2732663489884	4.3813828436933	4.26819002724745
BraA01g004090.3.5C	11.2944770477932	10.9141748127244	11.3502942792833	11.2145717746982	11.0446827186605	11.4736037591206	10.4187900693741	10.6400378422043	10.5470695547924	11.2193122366413	10.9385079861919	10.5882267671351	11.7983977067396	11.8600066138838	11.8911882900575	11.5231331644147	11.8865664741906	11.7107115240213	11.0255340180898	10.7021577037881	10.7928195684726	10.8302573474103	10.7146600832988	10.457694907302	12.7411037590317	12.3797506120867	12.5287070857723	12.2497007590678	11.8764552133992	11.7430389287424	12.1232550175886	11.9660515506508	12.038976484992	11.6290826792581	11.643003178482	11.0553171229687	11.2928795662706	11.4222904690783	11.4103824310296	10.7391440616103	11.6228520930598	11.5167854243227	11.0391864591946	10.8870147531408	11.0911804691756	9.82472891671922	9.36065535330544	9.19463332645563
BraA01g004130.3.5C	5.23608594966797	5.28375301696907	4.91347487399613	5.35149033012006	4.80277459946215	5.15176644749757	4.36740859890998	4.74183424714711	4.00163815812773	4.12296574824147	4.79145440148242	3.76526983822191	4.9554938733664	5.29745054583058	4.96111506441693	5.30125608981326	4.85381136382018	5.19286051895598	5.12693127719934	5.36118349997319	4.99468362665976	4.88927495130573	5.15515363707891	4.69713520133837	5.42706694264348	4.94027256807147	5.47784260716332	5.38219143790721	5.96164581927241	5.44506889960567	5.22085239454945	5.15252241818902	5.20555388867901	4.39528374763592	5.63610437530426	5.5051655204666	4.67568635312259	4.71764886351208	5.18524705180209	6.78147463095743	5.87007241544519	5.87934496317066	4.50116695222522	5.04799295049299	4.60482808482844	5.59573725553032	6.19119461409972	5.90636614712284
BraA01g004190.3.5C	7.35976189459591	7.16033157734026	7.40079250400416	7.40985138414713	7.48186576191679	7.15133498384764	6.10441454481844	6.5484351514293	6.18430287546558	6.26076120956807	6.21385636393139	6.29142246327448	7.2650027123391	7.29430991680369	7.21096152431247	7.51378289715848	7.24195159451262	7.2851741735225	6.56189077925802	6.43891293820481	6.5195381130583	6.58764896555004	6.80167133410937	6.81682708518033	6.69167050733721	6.7293486293935	6.7150448510109	6.86557072462797	6.83294089354706	6.99533602473996	6.61328471887205	6.81941185485715	6.50306640223005	6.3803510700197	6.74223031409096	6.59179406787724	7.15357999023399	7.53405802330597	7.20146135444074	7.38498630729167	7.59912626427189	7.67361363188908	6.02927494593855	5.94615055479816	6.64888945606607	6.90809183367889	7.28865148221794	7.22749122597033
