Gene	kME	module	modulesize
BraA01g002330.3.5C	0.641962567450579	blue	95
BraA01g006090.3.5C	0.67912297170725	blue	95
BraA01g008250.3.5C	0.517343361192469	blue	95
BraA01g008770.3.5C	0.426066914106392	blue	95
BraA01g012710.3.5C	0.608501699345532	blue	95
BraA01g013650.3.5C	0.645994110382176	blue	95
BraA01g014980.3.5C	0.369649442090112	blue	95
BraA01g019140.3.5C	0.479349652388845	blue	95
BraA01g025420.3.5C	0.660813470257864	blue	95
BraA01g029330.3.5C	0.649610613983336	blue	95
BraA01g031340.3.5C	0.784834075796774	blue	95
BraA01g035970.3.5C	0.60808995827372	blue	95
BraA01g036360.3.5C	0.509618687892196	blue	95
BraA01g036390.3.5C	0.500749329150367	blue	95
BraA01g037870.3.5C	0.678621857096585	blue	95
BraA02g000360.3.5C	0.708717263266079	blue	95
BraA02g006600.3.5C	0.776633888754366	blue	95
BraA02g007640.3.5C	0.78045278926513	blue	95
BraA02g009700.3.5C	0.763702255249746	blue	95
BraA02g011800.3.5C	0.406086671702696	blue	95
BraA02g012130.3.5C	0.636355583933327	blue	95
BraA02g013550.3.5C	0.583017170911053	blue	95
BraA02g017140.3.5C	0.570657574774793	blue	95
BraA02g021670.3.5C	0.784383912934661	blue	95
BraA03g011320.3.5C	0.675376032318371	blue	95
BraA03g019890.3.5C	0.463529786047171	blue	95
BraA03g020050.3.5C	0.623271863521065	blue	95
BraA03g047690.3.5C	0.706080686077	blue	95
BraA03g050410.3.5C	0.352046864180245	blue	95
BraA03g051700.3.5C	0.822038210771367	blue	95
BraA03g052270.3.5C	0.751978366114661	blue	95
BraA03g064320.3.5C	0.571793293613747	blue	95
BraA04g001670.3.5C	0.465479086321062	blue	95
BraA04g002030.3.5C	0.278076030024708	blue	95
BraA04g003570.3.5C	0.873244763742038	blue	95
BraA04g014840.3.5C	0.702407379082908	blue	95
BraA04g015780.3.5C	0.789251732999216	blue	95
BraA04g019460.3.5C	0.62256843325584	blue	95
BraA04g021760.3.5C	0.695436096446828	blue	95
BraA04g023250.3.5C	0.763805026828939	blue	95
BraA04g027680.3.5C	0.887400725301968	blue	95
BraA04g028650.3.5C	0.512725147719641	blue	95
BraA04g030990.3.5C	0.459766528476706	blue	95
BraA05g004650.3.5C	0.46714161434506	blue	95
BraA05g013320.3.5C	0.514584057220341	blue	95
BraA05g018770.3.5C	0.431492326723864	blue	95
BraA05g021530.3.5C	0.407610026418856	blue	95
BraA05g025240.3.5C	0.676701860415104	blue	95
BraA05g028610.3.5C	0.612429736738266	blue	95
BraA05g032140.3.5C	0.820252247351591	blue	95
BraA05g041940.3.5C	0.361555043275432	blue	95
BraA06g026670.3.5C	0.74215318658521	blue	95
BraA06g029780.3.5C	0.782538924215949	blue	95
BraA06g046310.3.5C	0.573986167799908	blue	95
BraA07g009540.3.5C	0.615596809247967	blue	95
BraA07g011060.3.5C	0.574700043963804	blue	95
BraA07g011130.3.5C	0.748777853327423	blue	95
BraA07g015500.3.5C	0.573106857092371	blue	95
BraA07g015930.3.5C	0.19144684226678	blue	95
BraA07g026180.3.5C	0.468190294278608	blue	95
BraA07g031010.3.5C	0.280669686389363	blue	95
BraA07g031020.3.5C	0.179655607918721	blue	95
BraA07g031400.3.5C	0.435510358698818	blue	95
BraA07g031500.3.5C	0.434813476771903	blue	95
BraA07g034230.3.5C	0.385732190130896	blue	95
BraA07g036410.3.5C	0.602155074183628	blue	95
BraA07g041250.3.5C	0.307008609766476	blue	95
BraA08g003970.3.5C	0.689053812390333	blue	95
BraA08g010040.3.5C	0.562437077962481	blue	95
BraA08g012070.3.5C	0.541382925937683	blue	95
BraA08g016320.3.5C	0.354026622476197	blue	95
BraA08g019590.3.5C	0.898261662205222	blue	95
BraA08g020850.3.5C	0.725265176334868	blue	95
BraA08g024300.3.5C	0.136562824574621	blue	95
BraA08g026970.3.5C	0.463426425492288	blue	95
BraA08g028390.3.5C	0.275539127845644	blue	95
BraA09g004210.3.5C	0.807873751770832	blue	95
BraA09g008300.3.5C	0.713293556346928	blue	95
