Gene	kME	module	modulesize
BraA01g001270.3.5C	0.709046157841357	black	179
BraA01g005020.3.5C	0.904803047992959	black	179
BraA01g007340.3.5C	0.760662779801383	black	179
BraA01g007450.3.5C	0.630778074103092	black	179
BraA01g012340.3.5C	0.671913735232904	black	179
BraA01g013560.3.5C	0.874650515795919	black	179
BraA01g013760.3.5C	0.810501145454647	black	179
BraA01g019040.3.5C	0.664483863507239	black	179
BraA01g021470.3.5C	0.334028093189107	black	179
BraA01g023180.3.5C	0.859431710361702	black	179
BraA01g024470.3.5C	0.808842831010349	black	179
BraA01g024650.3.5C	0.644206352544271	black	179
BraA01g029270.3.5C	0.614499152921221	black	179
BraA01g029880.3.5C	0.689772065251449	black	179
BraA01g034190.3.5C	0.539651974626028	black	179
BraA01g036200.3.5C	0.591074425936356	black	179
BraA01g037700.3.5C	0.338849423944945	black	179
BraA01g037950.3.5C	0.548186626291272	black	179
BraA01g038030.3.5C	0.638917078476112	black	179
BraA01g042690.3.5C	0.648919584787795	black	179
BraA01g043290.3.5C	0.714523104014092	black	179
BraA02g000460.3.5C	0.76249118799237	black	179
BraA02g007590.3.5C	0.579857904291562	black	179
BraA02g008130.3.5C	0.445735333632371	black	179
BraA02g010060.3.5C	0.934137319572935	black	179
BraA02g016460.3.5C	0.290731444621426	black	179
BraA02g018510.3.5C	0.828380339026978	black	179
BraA02g020480.3.5C	0.643966004512776	black	179
BraA02g028090.3.5C	0.864290659549161	black	179
BraA02g029650.3.5C	0.794613086594061	black	179
BraA02g035330.3.5C	0.849312492817959	black	179
BraA02g040600.3.5C	0.672895657797395	black	179
BraA02g042720.3.5C	0.779322999341644	black	179
BraA02g043820.3.5C	0.844411444261206	black	179
BraA02g046710.3.5C	0.608204378504941	black	179
BraA03g005480.3.5C	0.812349202149621	black	179
BraA03g005580.3.5C	0.591833178044926	black	179
BraA03g008340.3.5C	0.436641565089123	black	179
BraA03g009040.3.5C	0.575780335154045	black	179
BraA03g010300.3.5C	0.858214110340765	black	179
BraA03g014780.3.5C	0.756649079535118	black	179
BraA03g018300.3.5C	0.835936703236773	black	179
BraA03g021130.3.5C	0.404409542697753	black	179
BraA03g021140.3.5C	0.291777907686957	black	179
BraA03g023600.3.5C	0.783955367551019	black	179
BraA03g026700.3.5C	0.716668511446783	black	179
BraA03g028280.3.5C	0.756786607838406	black	179
BraA03g028290.3.5C	0.854386651849533	black	179
BraA03g028790.3.5C	0.611414551628394	black	179
BraA03g031580.3.5C	0.730678235000814	black	179
BraA03g032790.3.5C	0.892377886736433	black	179
BraA03g037740.3.5C	0.79215890617842	black	179
BraA03g038250.3.5C	0.706076950667507	black	179
BraA03g038540.3.5C	0.842069793454131	black	179
BraA03g039120.3.5C	0.727336303663416	black	179
BraA03g041650.3.5C	0.820823559024692	black	179
BraA03g042070.3.5C	0.924186741915959	black	179
BraA03g042950.3.5C	0.631484274130594	black	179
BraA03g043130.3.5C	0.824682541165976	black	179
BraA03g047510.3.5C	0.866989470696802	black	179
BraA03g051210.3.5C	0.752965851914568	black	179
BraA03g051690.3.5C	0.74450716193501	black	179
BraA03g051970.3.5C	0.851413822351987	black	179
BraA03g058820.3.5C	0.808734921171352	black	179
BraA03g062090.3.5C	0.623419816515741	black	179
BraA04g001270.3.5C	0.775142786506726	black	179
BraA04g004110.3.5C	0.904405171178009	black	179
BraA04g004310.3.5C	0.847867901314163	black	179
BraA04g004570.3.5C	0.844366163627414	black	179
BraA04g007530.3.5C	0.362722366509742	black	179
BraA04g011600.3.5C	0.77011272168149	black	179
BraA04g015990.3.5C	0.796556524261233	black	179
BraA04g019300.3.5C	0.805672947876646	black	179
BraA04g019550.3.5C	0.751478441831745	black	179
BraA04g024030.3.5C	0.917484623693137	black	179
BraA04g024620.3.5C	0.8642826023183	black	179
BraA04g024670.3.5C	0.899485112463923	black	179
BraA04g024680.3.5C	0.855704724076115	black	179
BraA04g025380.3.5C	0.728475964794406	black	179
BraA04g029620.3.5C	0.675807364377899	black	179
BraA04g030350.3.5C	0.666878007363417	black	179
BraA04g030770.3.5C	0.702222775377168	black	179
BraA04g032860.3.5C	0.444299975711915	black	179
BraA05g001400.3.5C	0.831822900924925	black	179
BraA05g008330.3.5C	0.911115522828999	black	179
BraA05g011810.3.5C	0.796074915823467	black	179
BraA05g015120.3.5C	0.914218087271753	black	179
BraA05g028780.3.5C	0.850145685586995	black	179
BraA05g030290.3.5C	0.655487941358297	black	179
BraA05g031720.3.5C	0.202466565108823	black	179
BraA05g036720.3.5C	0.812163692189974	black	179
BraA05g036730.3.5C	0.877563138700803	black	179
BraA05g040300.3.5C	0.802101221696054	black	179
BraA05g041880.3.5C	0.81414386199625	black	179
BraA06g000970.3.5C	0.570091556084289	black	179
BraA06g001310.3.5C	0.621165046719036	black	179
BraA06g002050.3.5C	0.203947432969522	black	179
BraA06g006010.3.5C	0.676473357080073	black	179
BraA06g008280.3.5C	0.586436034089349	black	179
BraA06g009320.3.5C	0.866938148412546	black	179
BraA06g010140.3.5C	0.90715553585076	black	179
BraA06g010930.3.5C	0.797103657733116	black	179
BraA06g013810.3.5C	0.925115459713772	black	179
BraA06g015170.3.5C	0.790152659138217	black	179
BraA06g020150.3.5C	0.904931869312355	black	179
BraA06g027860.3.5C	0.651875977876368	black	179
BraA06g029650.3.5C	0.746070206532608	black	179
BraA06g032330.3.5C	0.450648137222191	black	179
BraA06g032780.3.5C	0.559994523163284	black	179
BraA06g033200.3.5C	0.951322251897374	black	179
BraA06g039990.3.5C	0.37836330989009	black	179
BraA06g040380.3.5C	0.743815965284354	black	179
BraA07g002040.3.5C	0.751957359725484	black	179
BraA07g010100.3.5C	0.650639542541465	black	179
BraA07g010680.3.5C	0.711824236887899	black	179
BraA07g015800.3.5C	0.735834493386468	black	179
BraA07g020140.3.5C	0.814392928048286	black	179
BraA07g021410.3.5C	0.868220224058797	black	179
BraA07g023490.3.5C	0.853861238452231	black	179
BraA07g023670.3.5C	0.427881232477699	black	179
BraA07g025440.3.5C	0.922500368181975	black	179
BraA07g030660.3.5C	0.717246950733244	black	179
BraA07g032000.3.5C	0.260810203769987	black	179
BraA07g035890.3.5C	0.887846457618885	black	179
BraA07g035910.3.5C	0.811849563567224	black	179
BraA07g038840.3.5C	0.858851361552427	black	179
BraA07g039800.3.5C	0.854305015535757	black	179
BraA07g040490.3.5C	0.866610635611277	black	179
BraA07g042890.3.5C	0.809678798065222	black	179
BraA08g003020.3.5C	0.649148874790873	black	179
BraA08g004830.3.5C	0.895783480182208	black	179
BraA08g010180.3.5C	0.635552715224022	black	179
BraA08g012670.3.5C	0.508674698429095	black	179
BraA08g013610.3.5C	0.815387388473176	black	179
BraA08g015150.3.5C	0.450186386373809	black	179
BraA08g015370.3.5C	0.81901234696439	black	179
BraA08g015580.3.5C	0.585541605719616	black	179
BraA08g016930.3.5C	0.477071269526431	black	179
BraA08g017370.3.5C	0.773164704826346	black	179
BraA08g019180.3.5C	0.786099221414338	black	179
BraA08g020370.3.5C	0.791681558908871	black	179
BraA08g026220.3.5C	0.75794107463886	black	179
BraA08g027710.3.5C	0.389454793950954	black	179
BraA08g029930.3.5C	0.897803798250985	black	179
BraA09g003170.3.5C	0.583246367164283	black	179
BraA09g006410.3.5C	0.780735613128789	black	179
BraA09g009190.3.5C	0.409966480337811	black	179
BraA09g009240.3.5C	0.823336241293821	black	179
BraA09g009250.3.5C	0.815497223415817	black	179
BraA09g009260.3.5C	0.844842549773284	black	179
BraA09g009280.3.5C	0.787136690088616	black	179
BraA09g010550.3.5C	0.443239705317763	black	179
BraA09g015250.3.5C	0.774122414189082	black	179
BraA09g016400.3.5C	0.808882477199844	black	179
BraA09g017800.3.5C	0.667632621589793	black	179
BraA09g020300.3.5C	0.891416007673454	black	179
BraA09g025550.3.5C	0.71039354873066	black	179
BraA09g040510.3.5C	0.863999872560407	black	179
BraA09g049410.3.5C	0.703330590041714	black	179
BraA09g058740.3.5C	0.632458348824033	black	179
BraA09g060800.3.5C	0.867030121615119	black	179
BraA09g062420.3.5C	0.41788034637934	black	179
BraA09g063150.3.5C	0.444646200988496	black	179
