Gene	kME	module	modulesize
BraA01g000190.3.5C	0.804497411147464	black	831
BraA01g000370.3.5C	0.758039105800612	black	831
BraA01g000620.3.5C	0.823797312038672	black	831
BraA01g000690.3.5C	0.762239940211569	black	831
BraA01g000760.3.5C	0.861131570893948	black	831
BraA01g001030.3.5C	0.71564239541945	black	831
BraA01g001900.3.5C	0.85849916896647	black	831
BraA01g002210.3.5C	0.784202947476082	black	831
BraA01g002840.3.5C	0.621798374449172	black	831
BraA01g003730.3.5C	0.564500534140615	black	831
BraA01g004890.3.5C	0.762011626462728	black	831
BraA01g005160.3.5C	0.941013271364733	black	831
BraA01g005620.3.5C	0.875897192692902	black	831
BraA01g005670.3.5C	0.851910862299246	black	831
BraA01g006100.3.5C	0.626960796063276	black	831
BraA01g006120.3.5C	0.836549871359705	black	831
BraA01g006470.3.5C	0.627705283649553	black	831
BraA01g006770.3.5C	0.887310934053524	black	831
BraA01g007590.3.5C	0.790533742917196	black	831
BraA01g008090.3.5C	0.832559917477153	black	831
BraA01g008100.3.5C	0.820904728187464	black	831
BraA01g008670.3.5C	0.75468908370836	black	831
BraA01g008820.3.5C	0.817030625241377	black	831
BraA01g009710.3.5C	0.504840045002848	black	831
BraA01g009970.3.5C	0.739117371748602	black	831
BraA01g010720.3.5C	0.432747304614887	black	831
BraA01g013430.3.5C	0.842671632099474	black	831
BraA01g013680.3.5C	0.822814480875864	black	831
BraA01g015020.3.5C	0.908201994463912	black	831
BraA01g015040.3.5C	0.884677404599988	black	831
BraA01g015320.3.5C	0.628919193347166	black	831
BraA01g016080.3.5C	0.796928823251885	black	831
BraA01g017590.3.5C	0.827428828048564	black	831
BraA01g018800.3.5C	0.761690128122578	black	831
BraA01g018810.3.5C	0.529500634790184	black	831
BraA01g018870.3.5C	0.411926394436583	black	831
BraA01g019150.3.5C	0.685196776891353	black	831
BraA01g019690.3.5C	0.899530903495859	black	831
BraA01g019930.3.5C	0.818659889764025	black	831
BraA01g020060.3.5C	0.945574395854562	black	831
BraA01g020160.3.5C	0.607244537125075	black	831
BraA01g020290.3.5C	0.836675038095774	black	831
BraA01g020690.3.5C	0.883601752702553	black	831
BraA01g020910.3.5C	0.734557399086218	black	831
BraA01g021350.3.5C	0.851666151183024	black	831
BraA01g021410.3.5C	0.87664247945639	black	831
BraA01g021870.3.5C	0.908394623495447	black	831
BraA01g022420.3.5C	0.635988618877841	black	831
BraA01g022690.3.5C	0.822690435649463	black	831
BraA01g024400.3.5C	0.816457455515756	black	831
BraA01g025240.3.5C	0.428461100162876	black	831
BraA01g025930.3.5C	0.558294956161801	black	831
BraA01g026490.3.5C	0.561001110500382	black	831
BraA01g027760.3.5C	0.714575211906948	black	831
BraA01g029230.3.5C	0.858601362063386	black	831
BraA01g031420.3.5C	0.951317000674284	black	831
BraA01g031970.3.5C	0.354792302773337	black	831
BraA01g032430.3.5C	0.440211169318493	black	831
BraA01g032810.3.5C	0.911881522665468	black	831
BraA01g033600.3.5C	0.70571944599788	black	831
BraA01g033740.3.5C	0.836466785526797	black	831
BraA01g034910.3.5C	0.663507047237626	black	831
BraA01g034980.3.5C	0.771393121395785	black	831
BraA01g035380.3.5C	0.846406932766156	black	831
BraA01g035430.3.5C	0.819301457059	black	831
BraA01g035550.3.5C	0.877950217473126	black	831
BraA01g036870.3.5C	0.784964975165266	black	831
BraA01g037060.3.5C	0.601121520774014	black	831
BraA01g037070.3.5C	0.8394728863876	black	831
BraA01g037110.3.5C	0.659222145084795	black	831
BraA01g037150.3.5C	0.592988649823247	black	831
BraA01g038840.3.5C	0.858294743221139	black	831
BraA01g039000.3.5C	0.884063808948737	black	831
BraA01g039470.3.5C	0.625389703057087	black	831
BraA01g039990.3.5C	0.755215054084613	black	831
BraA01g040430.3.5C	0.784670436279221	black	831
BraA01g041810.3.5C	0.774997428231932	black	831
BraA01g042140.3.5C	0.764874913823577	black	831
BraA01g043180.3.5C	0.674807003739787	black	831
BraA01g044350.3.5C	0.340167043886164	black	831
BraA01g044800.3.5C	0.528742634396048	black	831
BraA01g045100.3.5C	0.747199786461734	black	831
BraA01g045370.3.5C	0.871012062187079	black	831
BraA02g000320.3.5C	0.250830299606698	black	831
BraA02g001750.3.5C	0.859555113700894	black	831
BraA02g001880.3.5C	0.675709082432331	black	831
BraA02g001960.3.5C	0.850802481186176	black	831
BraA02g002080.3.5C	0.945921067975239	black	831
BraA02g002230.3.5C	0.664415379320019	black	831
BraA02g002920.3.5C	0.809291590829479	black	831
BraA02g002950.3.5C	0.792196856590911	black	831
