Gene	TFfam	blastiden
BraA08g029070.3.5C	MYB_related	86.435
BraA03g060720.3.5C	WOX	99.623
BraA07g043450.3.5C	NAC	99.164
BraA08g026340.3.5C	C2H2	92.698
BraA04g004080.3.5C	bHLH	100.000
BraA04g029460.3.5C	G2-like	99.760
BraA08g019630.3.5C	ERF	100.000
BraA06g040890.3.5C	M-type_MADS	97.638
BraA10g026110.3.5C	SRS	100.000
BraA02g011580.3.5C	MYB	92.199
BraA04g033360.3.5C	HD-ZIP	99.578
BraA06g037890.3.5C	NAC	100.000
BraA03g033240.3.5C	M-type_MADS	100.000
BraA10g025910.3.5C	C3H	100.000
BraA07g040020.3.5C	C3H	100.000
BraA03g025610.3.5C	YABBY	100.000
BraA01g035680.3.5C	HB-other	100.000
BraA01g032000.3.5C	C2H2	99.515
BraA06g003330.3.5C	GRAS	100.000
BraA05g023620.3.5C	bHLH	98.188
BraA06g030730.3.5C	C2H2	100.000
BraA04g021510.3.5C	LBD	100.000
BraA07g011430.3.5C	C3H	82.949
BraA07g008690.3.5C	HSF	95.860
BraA10g018950.3.5C	WRKY	100.000
BraA04g024340.3.5C	HD-ZIP	100.000
BraA09g046150.3.5C	MYB	100.000
BraA09g016170.3.5C	NAC	100.000
BraA02g020950.3.5C	ERF	100.000
BraA10g032400.3.5C	HD-ZIP	100.000
BraA06g005960.3.5C	MYB	100.000
BraA09g051590.3.5C	FAR1	86.897
BraA10g000900.3.5C	NAC	94.835
BraA01g008990.3.5C	NAC	100.000
BraA08g026580.3.5C	bHLH	100.000
BraA03g043930.3.5C	bHLH	100.000
BraA06g019910.3.5C	TCP	100.000
BraA09g042030.3.5C	ERF	100.000
BraA06g009470.3.5C	NAC	100.000
BraA02g011340.3.5C	NAC	98.106
BraA03g024450.3.5C	bHLH	100.000
BraA10g020420.3.5C	MIKC_MADS	96.875
BraA05g004680.3.5C	WRKY	100.000
BraA06g020770.3.5C	G2-like	100.000
BraA10g031860.3.5C	C2H2	100.000
BraA03g048900.3.5C	TCP	100.000
BraA06g033820.3.5C	C2H2	100.000
BraA06g009160.3.5C	ERF	70.874
BraA06g041780.3.5C	C2H2	100.000
BraA09g026820.3.5C	WRKY	99.225
BraA01g016170.3.5C	bHLH	100.000
BraA01g015970.3.5C	GeBP	100.000
BraA07g017480.3.5C	ERF	100.000
BraA02g047580.3.5C	HD-ZIP	100.000
BraA04g025570.3.5C	ARF	100.000
BraA09g009700.3.5C	HD-ZIP	98.667
BraA04g023020.3.5C	WRKY	100.000
BraA03g057860.3.5C	B3	99.702
BraA02g010900.3.5C	MYB_related	100.000
BraA04g025970.3.5C	HD-ZIP	100.000
BraA03g039960.3.5C	NF-YA	100.000
BraA03g021490.3.5C	LBD	100.000
BraAnng003390.3.5C	MYB	100.000
BraA02g002920.3.5C	NAC	100.000
BraA01g028480.3.5C	ARF	100.000
BraA05g029230.3.5C	B3	100.000
BraA06g004120.3.5C	MYB	100.000
BraA05g004340.3.5C	MYB_related	99.827
BraA10g004430.3.5C	bHLH	100.000
BraA01g034970.3.5C	HB-PHD	99.718
BraA02g026660.3.5C	WRKY	77.692
BraA01g035070.3.5C	C3H	100.000
BraA05g001510.3.5C	bZIP	100.000
BraA01g014740.3.5C	ARF	99.836
BraA03g058580.3.5C	TALE	100.000
BraA07g019250.3.5C	C2H2	100.000
BraA04g029810.3.5C	HSF	100.000
BraA09g021920.3.5C	NAC	100.000
BraA04g030840.3.5C	SBP	100.000
BraA06g032290.3.5C	MYB_related	100.000
BraA03g052450.3.5C	ARF	99.523
BraA09g064710.3.5C	bZIP	89.256
BraA07g020590.3.5C	NAC	100.000
BraA10g014400.3.5C	NAC	88.580
BraA09g050520.3.5C	C2H2	100.000
BraA03g045610.3.5C	BES1	100.000
BraA05g042000.3.5C	MYB	99.371
BraA03g061800.3.5C	AP2	100.000
BraA06g029920.3.5C	HD-ZIP	100.000
BraA09g050090.3.5C	ERF	80.370
BraA10g031630.3.5C	MYB_related	100.000
BraA02g019880.3.5C	ZF-HD	100.000
BraA02g024520.3.5C	Trihelix	100.000
BraA08g021880.3.5C	MYB	100.000
BraA09g003510.3.5C	MYB	100.000
BraA10g000570.3.5C	C3H	100.000
BraA03g002010.3.5C	G2-like	100.000
BraA06g001770.3.5C	NAC	100.000
BraA05g036640.3.5C	MYB	100.000
BraA02g037030.3.5C	MYB	100.000
BraA07g032420.3.5C	CAMTA	93.056
BraA03g001070.3.5C	MYB_related	100.000
BraA07g037160.3.5C	ERF	100.000
BraA01g006300.3.5C	B3	93.684
BraA08g034700.3.5C	DBB	100.000
BraA07g012970.3.5C	ERF	100.000
BraA02g046830.3.5C	MIKC_MADS	100.000
BraA08g014780.3.5C	MYB	100.000
BraA05g027020.3.5C	NF-YA	100.000
BraA02g012450.3.5C	CO-like	99.708
BraA07g029200.3.5C	ZF-HD	100.000
BraA05g000450.3.5C	MYB	100.000
BraA07g028840.3.5C	bZIP	100.000
BraA05g042680.3.5C	HSF	100.000
BraA07g019730.3.5C	C2H2	100.000
BraA02g014610.3.5C	HD-ZIP	100.000
BraA05g036780.3.5C	LBD	100.000
BraA05g016890.3.5C	NF-YA	100.000
