Gene	AtLocus	gene_name	label	TFfam	isTF	AtLocus_fullname	group	group_module	kME	Outdegree	hub	kME_hub
BraA01g003380.3.5C	AT4G34990	MYB32	MYB32_AT4G34990_BraA01g003380.3.5C	MYB	1	myb domain protein 32	ECR	ECR_lightcyan	0.893150427400326	17	1	key
BraA01g003690.3.5C	AT4G34590	BZIP11	BZIP11_AT4G34590_BraA01g003690.3.5C	bZIP	1	G-box binding factor 6	ECR	ECR_lightcyan	0.890661306931523	28	1	key
BraA01g015040.3.5C	AT4G24240	WRKY7	WRKY7_AT4G24240_BraA01g015040.3.5C	WRKY	1	WRKY DNA-binding protein 7	ECR	ECR_black	0.884677404599988	91	1	key
BraA01g019430.3.5C	AT4G17230	SCL13	SCL13_AT4G17230_BraA01g019430.3.5C	GRAS	1	SCARECROW-like 13	ECR	ECR_purple	0.870396872166851	60	1	key
BraA01g023140.3.5C	NA	NA	BraA01g023140.3.5C	HSF	1	NA	CHD	CHD_turquoise	0.987231202602268	168	1	key
BraA01g032550.3.5C	NA	NA	BraA01g032550.3.5C	CPP	1	NA	HD	HD_green	0.91022848530079	8	1	key
BraA01g038750.3.5C	AT3G14230	RAP2-2	RAP2-2_AT3G14230_BraA01g038750.3.5C	ERF	1	related to AP2 2	ECR	ECR_purple	0.90490149866441	6	1	key
BraA01g040860.3.5C	AT3G11280	AT3G11280	AT3G11280_BraA01g040860.3.5C	MYB	1		CHD	CHD_turquoise	0.869114804092142	35	1	key
BraA02g026510.3.5C	AT1G80730	ZFP1	ZFP1_AT1G80730_BraA02g026510.3.5C	C2H2	1	zinc-finger protein 1	CHD	CHD_blue	0.907223742421441	43	1	key
BraA02g037740.3.5C	NA	NA	BraA02g037740.3.5C	bZIP	1	NA	HD	HD_black	0.908447941907711	12	1	key
BraA02g039900.3.5C	AT3G28857	PRE5	PRE5_AT3G28857_BraA02g039900.3.5C	bHLH	1	Paclobutrazol Resistance 5	ECR	ECR_darkgreen	0.887391779963155	7	1	key
BraA02g047580.3.5C	AT5G66700	ATHB-53	ATHB-53_AT5G66700_BraA02g047580.3.5C	HD-ZIP	1	homeobox 53	ECR	ECR_darkgreen	0.874283628181544	14	1	key
BraA03g003880.3.5C	AT5G08790	NAC081	C081_AT5G08790_BraA03g003880.3.5C	NAC	1	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	ECR	ECR_purple	0.883063859361835	24	1	key
BraA03g005520.3.5C	AT5G12840	NFYA1	NFYA1_AT5G12840_BraA03g005520.3.5C	NF-YA	1	nuclear factor Y, subunit A1	ECR	ECR_lightcyan	0.967135717013187	42	1	key
BraA03g010300.3.5C	AT5G22380	NAC090	C090_AT5G22380_BraA03g010300.3.5C	NAC	1	NAC domain containing protein 90	CHD	CHD_black	0.858214110340765	7	1	key
BraA03g030240.3.5C	AT4G01060	ETC3	ETC3_AT4G01060_BraA03g030240.3.5C	MYB_related	1	CAPRICE-like MYB3	CHD	CHD_blue	0.858100181305559	37	1	key
BraA03g030860.3.5C	AT3G01600	anac044	anac044_AT3G01600_BraA03g030860.3.5C	NAC	1	NAC domain containing protein 44	CHD	CHD_blue	0.851273487020049	132	1	key
BraA03g040990.3.5C	AT3G22830	HSFA6B	HSFA6B_AT3G22830_BraA03g040990.3.5C	HSF	1	heat shock transcription factor  A6B	CHD	CHD_yellow	0.979490623024482	55	1	key
BraA03g047230.3.5C	NA	NA	BraA03g047230.3.5C	ARR-B	1	NA	CHD	CHD_brown	0.892385254814141	43	1	key
BraA03g051180.3.5C	AT4G22680	MYB85	MYB85_AT4G22680_BraA03g051180.3.5C	MYB	1	myb domain protein 85	CHD	CHD_turquoise	0.857218729825146	13	1	key
BraA03g055090.3.5C	NA	NA	BraA03g055090.3.5C	HSF	1	NA	CHD	CHD_turquoise	0.988839840260155	178	1	key
BraA03g059990.3.5C	AT4G34590	BZIP11	BZIP11_AT4G34590_BraA03g059990.3.5C	bZIP	1	G-box binding factor 6	ECR	ECR_lightcyan	0.911617594296929	36	1	key
BraA03g060250.3.5C	AT4G34990	MYB32	MYB32_AT4G34990_BraA03g060250.3.5C	MYB	1	myb domain protein 32	ECR	ECR_lightcyan	0.970069729146494	41	1	key
BraA04g001910.3.5C	AT3G60580	ZAT9	ZAT9_AT3G60580_BraA04g001910.3.5C	C2H2	1	C2H2-like zinc finger protein	CHD	CHD_turquoise	0.867541661364389	96	1	key
BraA04g012800.3.5C	AT5G39660	CDF2	CDF2_AT5G39660_BraA04g012800.3.5C	Dof	1	cycling DOF factor 2	ECR	ECR_lightcyan	0.957911053676143	44	1	key
BraA04g013630.3.5C	NA	NA	BraA04g013630.3.5C	C3H	1	NA	ECR	ECR_purple	0.897152067140556	22	1	key
BraA04g014510.3.5C	AT5G41030	TCP6	TCP6_AT5G41030_BraA04g014510.3.5C	TCP	1		ECR	ECR_purple	0.903088940122737	47	1	key
BraA04g021510.3.5C	AT2G28500	LBD11	LBD11_AT2G28500_BraA04g021510.3.5C	LBD	1	LOB domain-containing protein 11	HD	HD_black	0.920541577629551	6	1	key
BraA04g026760.3.5C	AT2G35940	BLH1	BLH1_AT2G35940_BraA04g026760.3.5C	TALE	1	BEL1-like homeodomain 1	ECR	ECR_black	0.884214601384142	47	1	key
BraA04g029810.3.5C	NA	NA	BraA04g029810.3.5C	HSF	1	NA	CHD	CHD_turquoise	0.871765791617352	43	1	key
BraA04g030210.3.5C	AT2G40950	BZIP17	BZIP17_AT2G40950_BraA04g030210.3.5C	bZIP	1	Basic-leucine zipper (bZIP) transcription factor family protein	ECR	ECR_purple	0.870723723978227	10	1	key
BraA04g031900.3.5C	AT2G45190	YAB1	YAB1_AT2G45190_BraA04g031900.3.5C	YABBY	1	ABNORMAL FLORAL ORGANS	ECR	ECR_tan	0.85066160199256	16	1	key
